,OR,date,s_min,s_max,s_skew,s_kurt,d_min,d_max,d_skew,d_kurt,i_min,i_max,i_skew,i_kurt,c_min,c_max,c_skew,c_kurt
0,3309,20210114,28421,33772,-0.8349377604130173,-1.0147731242536582,25476,30679,-0.8219129906332492,-1.0263117331412002,299.771,366.614,-0.7992663677564316,-0.9506390098862747,204.098,249.607,-0.7993041002638799,-0.9506247041002105
1,3046,20210115,28421,33772,-1.216384135687843,-0.06941416536904788,25476,30679,-1.1938051563077292,-0.08885144546266055,299.771,366.614,-1.1901029118346664,-0.030605413986978025,204.098,249.607,-1.1901550782272534,-0.03053656927334858
2,3034,20210116,28513,33772,-1.2039381109800935,0.11037445333492046,25476,30679,-1.1838368848500198,0.11471426359025427,299.771,366.614,-1.3602452311839914,0.9439673112763929,204.098,249.607,-1.3603010705107104,0.9440459219714259
3,3157,20210117,29746,33772,-0.9466629208573208,-0.7708000215501123,26712,30679,-0.9020973263604213,-0.8384686686803176,314.254,366.614,-0.9922183298171061,-0.29901202598051047,213.959,249.607,-0.9922782663682983,-0.29896522352417465
4,3158,20210118,29746,33772,-0.9754331905049585,-0.7528132529984837,26712,30679,-0.9203181088505563,-0.8293166268608108,314.254,366.614,-1.0828949792633753,-0.12029411496919584,213.959,249.607,-1.0829499725414558,-0.12026360478880038
5,3150,20210119,29746,33772,-0.9770343352718515,-0.7525556286617432,26712,30679,-0.9170694452121384,-0.8293510801248298,314.254,366.614,-1.0968918697256276,-0.11327583840151645,213.959,249.607,-1.096946431568495,-0.11324493083065157
6,3074,20210120,29746,33772,-0.972164261830094,-0.7452823984947701,26712,30679,-0.9104208437818886,-0.8188337401554704,314.254,366.614,-1.0922596224727525,-0.11177960568755507,213.959,249.607,-1.0923075570297953,-0.11174710763749074
7,3097,20210121,29746,33772,-0.9818895068931951,-0.7312170277084351,26712,30679,-0.9212821758239524,-0.804733828007139,314.254,366.614,-1.0861858946755918,-0.083302060831139,213.959,249.607,-1.086236647300337,-0.08327004072222666
8,3203,20210122,29746,33772,-0.9871802684979702,-0.7158929602480506,26712,30679,-0.928026396862051,-0.7869707485618052,314.254,366.614,-1.1366529267750123,0.0037619676718820827,213.959,249.607,-1.136693762542205,0.0037681914838070263
9,3073,20210123,29746,33772,-0.8852087573920918,-1.0325167903316763,26712,30679,-0.8481409431442745,-1.0606213365705845,314.254,366.614,-0.9757468382000768,-0.4578335726957685,213.959,249.607,-0.9757658476613181,-0.4578744197092748
10,3269,20210124,28790,33772,-1.023150864597288,-0.6071042885501048,25717,30679,-0.9922073753840075,-0.6416906029425222,307.458,366.614,-1.1363496714389096,-0.06240311830617307,209.331,249.607,-1.1363852723922336,-0.062353664744099646
11,3219,20210125,28790,33749,-1.0534340613506847,-0.5689185865353563,25717,30633,-1.0230563945511355,-0.5979371622013927,307.458,366.614,-1.0024179811982699,-0.20271376277560194,209.331,249.607,-1.0024541147778487,-0.20267576549471444
12,3064,20210126,28790,33359,-1.0957481029745952,-0.5312310930573436,25717,30285,-1.0717819038950542,-0.5536653726737244,307.458,361.441,-1.1083707456169594,-0.05621238823526076,209.331,246.085,-1.1083835210687065,-0.05618467807402627
