,OR,date,s_min,s_max,s_skew,s_kurt,d_min,d_max,d_skew,d_kurt,i_min,i_max,i_skew,i_kurt,c_min,c_max,c_skew,c_kurt
0,3102,20210105,28421,33117,0.4155144006538509,-1.8159592194096243,25476,30050,0.4098838861483029,-1.8160587880717374,299.771,353.795,0.4056449074905753,-1.6095135447373912,204.098,240.88,0.4056485104013477,-1.6095609069119734
1,3102,20210106,28421,33429,-0.38303027086470853,-1.8184318588973856,25476,30327,-0.38689459603866305,-1.821841188746323,299.771,357.158,-0.3051537253295448,-1.756999401041237,204.098,243.17,-0.3051637129789994,-1.7570103941497008
2,3106,20210107,28513,33602,-1.4181274531775137,0.13801382530513662,25476,30500,-1.4304526295140647,0.15530454138534067,299.771,360.578,-1.2403679805973011,-0.13905026417846322,204.098,245.498,-1.2403979822597395,-0.13900304293184051
3,3201,20210108,32766,33602,-0.6805599261493877,-1.04800999508415,29734,30500,-0.6538083846510112,-1.0566115932115534,342.273,364.834,-0.6993356580853849,-0.6617306267934646,233.036,248.395,-0.6994159512045905,-0.6617172669874996
4,2906,20210109,31269,33602,-1.3754835333114739,0.06798862060754729,28068,30500,-1.40249267781235,0.10988430047218234,342.185,364.834,-0.7052225332720602,-0.6560940155369588,232.976,248.395,-0.7053111316623986,-0.6560718188630719
5,3093,20210110,30161,33602,-0.5843616666787195,-1.4443857672225795,27255,30500,-0.5085877736835869,-1.6041951483008692,320.948,364.834,-0.8192378633151675,-0.8305415489030317,218.516,248.395,-0.8193295383651932,-0.8304255230487496
6,3116,20210111,30161,33772,-0.5664367233050003,-1.4696483455793308,27255,30679,-0.4940670819644332,-1.618678245538218,320.948,364.834,-0.8387146079322727,-0.8513231044824883,218.516,248.395,-0.8387898171819756,-0.8511956754226206
7,3114,20210112,30161,33772,-0.5602683711448054,-1.4807670053716555,27255,30679,-0.4908068453001997,-1.625306721144815,320.948,366.614,-0.774813381613096,-0.9489727700739987,218.516,249.607,-0.7748823724196172,-0.9488442084529733
8,3132,20210113,30161,33772,-0.5031323038354074,-1.446319277058698,27255,30679,-0.4234331695852664,-1.5917217194322346,320.948,366.614,-0.7923793385672192,-0.8937448862517354,218.516,249.607,-0.7924486137870083,-0.8936143577748812
9,3309,20210114,30161,33772,-1.3372528594395015,0.03524170702653162,27255,30679,-1.305709614142965,-0.005362640654440476,320.948,366.614,-1.3894245041306268,0.11926184701217402,218.516,249.607,-1.3894491804958335,0.11929261575203354
