,date,OR,today
252,20210910,3720.0,3303
253,20210911,4008.0,3720
254,20210912,3846.0,4008
255,20210913,3958.0,3846
256,20210914,3899.0,3958
257,20210915,4841.0,3899
258,20210916,4647.0,4841
259,20210917,4609.0,4647
260,20210918,3153.0,4609
261,20210919,6911.0,3153
262,20210920,6556.0,6911
263,20210921,3816.0,6556
264,20210922,3133.0,3816
265,20210923,4457.0,3133
266,20210924,5348.0,4457
267,20210925,3209.0,5348
268,20210926,4395.0,3209
269,20210927,5268.0,4395
270,20210928,4843.0,5268
271,20210929,5212.0,4843
272,20210930,3175.0,5212
273,20211001,5235.0,3175
274,20211002,3317.0,5235
275,20211003,3756.0,3317
276,20211004,2670.0,3756
277,20211005,2327.0,2670
278,20211006,1629.0,2327
279,20211007,1854.0,1629
280,20211008,5140.0,1854
281,20211009,3642.0,5140
282,20211010,2614.0,3642
283,20211011,2384.0,2614
284,20211012,2572.0,2384
285,20211013,2884.0,2572
286,20211014,2808.0,2884
287,20211015,5663.0,2808
288,20211016,6547.0,5663
289,20211017,5902.0,6547
290,20211018,5502.0,5902
291,20211019,5030.0,5502
292,20211020,6040.0,5030
293,20211021,3899.0,6040
294,20211022,4684.0,3899
295,20211023,5049.0,4684
296,20211024,4043.0,5049
297,20211025,3471.0,4043
298,20211026,3915.0,3471
299,20211027,6817.0,3915
300,20211028,5412.0,6817
301,20211029,3806.0,5412
302,20211030,4487.0,3806
303,20211031,3357.0,4487
304,20211101,2949.0,3357
305,20211102,4206.0,2949
306,20211103,3767.0,4206
307,20211104,2818.0,3767
308,20211105,5471.0,2818
309,20211106,2584.0,5471
310,20211107,5417.0,2584
311,20211108,3914.0,5417
312,20211109,3686.0,3914
313,20211110,3857.0,3686
314,20211111,4318.0,3857
315,20211112,5117.0,4318
316,20211113,4827.0,5117
317,20211114,3571.0,4827
318,20211115,3899.0,3571
319,20211116,3859.0,3899
320,20211117,3466.0,3859
321,20211118,5704.0,3466
322,20211119,4094.0,5704
323,20211120,4098.0,4094
324,20211121,6608.0,4098
325,20211122,4036.0,6608
326,20211123,3858.0,4036
327,20211124,3937.0,3858
328,20211125,4089.0,3937
329,20211126,3727.0,4089
330,20211127,3435.0,3727
331,20211128,2773.0,3435
332,20211129,4007.0,2773
333,20211130,4556.0,4007
334,20211201,3821.0,4556
335,20211202,4966.0,3821
336,20211203,4418.0,4966
337,20211204,3620.0,4418
338,20211205,3792.0,3620
339,20211206,2841.0,3792
340,20211207,4244.0,2841
341,20211208,3256.0,4244
342,20211209,3531.0,3256
343,20211210,3273.0,3531
344,20211211,4515.0,3273
345,20211212,4083.0,4515
346,20211213,3050.0,4083
347,20211214,2686.0,3050
348,20211215,2864.0,2686
349,20211216,6616.0,2864
350,20211217,4279.0,6616
351,20211218,3428.0,4279
352,20211219,2642.0,3428
353,20211220,2862.0,2642
354,20211221,3057.0,2862
355,20211222,2423.0,3057
356,20211223,3191.0,2423
357,20211224,3035.0,3191
358,20211225,3429.0,3035
359,20211226,3767.0,3429
360,20211227,3252.0,3767
361,20211228,2807.0,3252
362,20211229,4376.0,2807
363,20211230,3927.0,4376
364,20211231,3346.0,3927
365,20220101,3641.0,3346
366,20220102,3184.0,3641
367,20220103,2620.0,3184
368,20220104,2512.0,2620
369,20220105,3209.0,2512
370,20220106,3010.0,3209
371,20220107,3147.0,3010
372,20220108,3158.0,3147
373,20220109,2491.0,3158
374,20220110,2414.0,2491
375,20220111,2220.0,2414
376,20220112,2475.0,2220
377,20220113,2681.0,2475
378,20220114,2293.0,2681
379,20220115,3429.0,2293
380,20220116,2716.0,3429
381,20220117,2425.0,2716
382,20220118,3002.0,2425
383,20220119,2661.0,3002
384,20220120,2179.0,2661
385,20220121,3032.0,2179
386,20220122,2301.0,3032
387,20220123,3167.0,2301
388,20220124,2963.0,3167
389,20220125,2549.0,2963
390,20220126,3464.0,2549
391,20220127,4700.0,3464
392,20220128,3346.0,4700
393,20220129,3087.0,3346
394,20220130,3111.0,3087
29,20220130,3111.0,3087
30,20220131,4421.0,3111
31,20220201,3232.0,4421
32,20220202,3135.0,3232
33,20220203,3577.0,3135
34,20220204,2930.0,3577
35,20220205,3108.0,2930
36,20220206,2986.0,3108
37,20220207,3395.0,2986
38,20220208,2833.0,3395
39,20220209,2972.0,2833
40,20220210,3343.0,2972
41,20220211,2921.0,3343
42,20220212,3757.0,2921
43,20220213,2966.0,3757
44,20220214,2877.0,2966
45,20220215,3665.0,2877
46,20220216,3043.0,3665
47,20220217,3184.0,3043
48,20220218,2989.0,3184
49,20220219,2972.0,2989
50,20220220,2006.0,2972
51,20220221,2603.0,2006
52,20220222,2567.0,2603
53,20220223,2511.0,2567
54,20220224,3406.0,2511
55,20220225,3437.0,3406
56,20220226,3730.0,3437
57,20220227,4127.0,3730
58,20220228,2510.0,4127
59,20220301,3135.0,2510
60,20220302,7126.0,3135
61,20220303,3261.0,7126
62,20220304,4338.0,3261
63,20220305,4632.0,4338
64,20220306,2527.0,4632
65,20220307,3290.0,2527
66,20220308,2550.0,3290
67,20220309,3088.0,2550
68,20220310,3148.0,3088
69,20220311,3438.0,3148
70,20220312,2839.0,3438
71,20220313,2659.0,2839
72,20220314,2986.0,2659
73,20220315,2859.0,2986
74,20220316,2712.0,2859
75,20220317,4424.0,2712
76,20220318,2675.0,4424
77,20220319,3050.0,2675
78,20220320,2751.0,3050
79,20220321,3735.0,2751
80,20220322,3717.0,3735
81,20220323,2381.0,3717
82,20220324,3394.0,2381
83,20220325,3277.0,3394
84,20220326,3414.0,3277
85,20220327,3069.0,3414
86,20220328,3069.0,3069
87,20220329,3069.0,3069
88,20220330,3069.0,3069
89,20220331,3069.0,3069
90,20220401,3069.0,3069
91,20220402,3069.0,3069
92,20220403,3069.0,3069
93,20220404,3069.0,3069
94,20220405,3069.0,3069
95,20220406,3069.0,3069
96,20220407,3069.0,3069
97,20220408,3069.0,3069
98,20220409,3069.0,3069
99,20220410,3069.0,3069
100,20220411,3069.0,3069
101,20220412,3069.0,3069
102,20220413,3069.0,3069
103,20220414,3069.0,3069
104,20220415,3069.0,3069
